"CA_MPA_Name_Short","year","y","lnDiff","mpa","reference","Diff","resp","time","type","Location","Hectares","source","BA"
"Naples SMCA",2006,"Mesocentrotus franciscanus",3.78418963391826,0.593792172739541,0.0134952766531714,44,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2006,"Strongylocentrotus purpuratus",4.88752559693415,0.151268890789849,0.00114057599087539,132.625,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2007,"Mesocentrotus franciscanus",2.42207607099559,0.395411605937922,0.0350877192982456,11.2692307692308,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2007,"Strongylocentrotus purpuratus",3.04884209886794,0.264613629883091,0.0125463358996293,21.0909090909091,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2008,"Mesocentrotus franciscanus",1.79966464873517,0.342780026990553,0.0566801619433198,6.04761904761905,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2008,"Strongylocentrotus purpuratus",2.34331069732675,0.493013972055888,0.0473339036213288,10.4156626506024,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2009,"Mesocentrotus franciscanus",1.40827326783867,0.496626180836707,0.121457489878543,4.08888888888889,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2009,"Strongylocentrotus purpuratus",1.16580416912346,0.451953236384374,0.140861134873111,3.2085020242915,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2010,"Mesocentrotus franciscanus",1.12410613749433,0.58974358974359,0.191632928475034,3.07746478873239,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2010,"Strongylocentrotus purpuratus",0.479020822895924,0.317650413458797,0.196749358426005,1.61449275362319,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2011,"Mesocentrotus franciscanus",1.1225655296906,0.456140350877193,0.148448043184885,3.07272727272727,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2011,"Strongylocentrotus purpuratus",-0.127868123295261,0.164100370687197,0.186484174508127,0.879969418960245,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2012,"Mesocentrotus franciscanus",1.32242901402322,1.00269905533063,0.267206477732794,3.75252525252525,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
